title,author,genre,book_url,image_url
"Дар. 14 уроків, які врятують ваше життя",Едіт Еґер,Нехудожня література (нон-фікшн),/catalog/psykholohiya/dar-14-urokiv-yaki-vryatuyut-vashe-zhyttya/,https://book-ye.com.ua//upload/resize_cache/iblock/bc4/230_355_1/1e33ba10_0996_11ec_8150_0050568ef5e6_07e2030e_6dab_11ed_8176_0050568ef5e6.jpg
7 звичок надзвичайно ефективних людей. Потужні інструменти розвитку особистості,Стівен Кові,Нехудожня література (нон-фікшн),/catalog/psykholohiya/7-zvychok-nadzvychajno-efektyvnykh-lyudej-potuzhni-instrumenty-rozvytku-osobystosti/,https://book-ye.com.ua//upload/resize_cache/iblock/66b/230_355_1/cff3dd1d_7fe3_11e6_80c0_000c29ae1566_3772b4f9_83f3_11e7_80cf_000c29ae1566.jpg
"Дівчина-вогонь. Як обирати себе, ламати правила і йти власним шляхом у житті та бізнесі",Кара Лейба,Нехудожня література (нон-фікшн),/catalog/motyvatsijni-knyhy/divchyna-vohon-yak-obyraty-sebe-lamaty-pravyla-i-jty-vlasnym-shlyakhom-u-zhytti-ta-biznesi/,https://book-ye.com.ua//upload/resize_cache/iblock/618/230_355_1/b350fa92_6883_11ec_815f_0050568ef5e6_59d10214_bbf5_11ec_816d_0050568ef5e6.jpg
Духовний щоденник для жінок,Шеннон Робертс,Нехудожня література (нон-фікшн),/catalog/shchodennyky-planery/dukhovnyj-shchodennyk-dlya-zhinok/,https://book-ye.com.ua//upload/resize_cache/iblock/9c7/230_355_1/121a2e7e_7845_11ec_815f_0050568ef5e6_2998cc9d_a141_11ed_817a_0050568ef5e6.jpg
Мистецтво війни,Сунь-цзи,Нехудожня література (нон-фікшн),/catalog/filosofiya/mystetstvo-vijny/,https://book-ye.com.ua//upload/resize_cache/iblock/ca0/230_355_1/69068dfc_f9ab_11e6_80c5_000c29ae1566_99f391f8_af32_11eb_814a_0050568ef5e6.jpg
Прожити й розповісти,Анатолій Дімаров,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/prozhyty-j-rozpovisty/,https://book-ye.com.ua//upload/resize_cache/iblock/260/230_355_1/89c901b4_237a_11ed_8173_000c29ae1566_5ed87668_237b_11ed_8173_000c29ae1566.jpg
"Людина, що хотіла бути щасливою",Лоран Гунель,Нехудожня література (нон-фікшн),/catalog/motyvatsijni-knyhy/lyudyna-shcho-khotila-buty-shchaslyvoyu/,https://book-ye.com.ua//upload/resize_cache/iblock/96d/230_355_1/1c5b42d7_858d_11e6_80c0_000c29ae1566_537f5eab_eee1_11eb_8150_0050568ef5e6.jpg
Шум. Хибність людських суджень,Деніел Канеман,Нехудожня література (нон-фікшн),/catalog/psykholohiya/shum-khybnist-lyudskykh-sudzhen/,https://book-ye.com.ua//upload/resize_cache/iblock/681/230_355_1/dc1abdac_8566_11e6_80c0_000c29ae1566_658d27d3_4572_11ed_8175_0050568ef5e6.jpg
Гітлер і Сталін. Тирани та Друга світова війна (м'яка обкладинка),Лоренс Різ,Нехудожня література (нон-фікшн),/catalog/istorychni-postati/gitler-i-stalin-tyrany-ta-druha-svitova-vijna-m-yaka-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/545/230_355_1/c8b8b1b0_62d4_11eb_8146_000c29ae1566_93e0f11d_d80b_11ec_8170_0050568ef5e6.jpg
Схід українського сонця. Історії Донеччини та Луганщини початку ХХІ століття,Катерина Зарембо,Нехудожня література (нон-фікшн),/catalog/rehiony-ukrayiny/skhid-ukrayinskoho-sontsya-istoriyi-donechchyny-ta-luhanshchyny-pochatku-khkhi-stolittya/,https://book-ye.com.ua//upload/resize_cache/iblock/e02/230_355_1/2daafea6_812b_11ed_8177_0050568ef5e6_f47c99da_812b_11ed_8177_0050568ef5e6.jpg
Як Україна втрачала Донбас,Денис Казанський,Нехудожня література (нон-фікшн),/catalog/rehiony-ukrayiny/yak-ukrayina-vtrachala-donbas/,https://book-ye.com.ua//upload/resize_cache/iblock/387/230_355_1/a39a3cd8_144b_11eb_813d_000c29ae1566_536181e5_8cf4_11ed_8178_0050568ef5e6.jpg
Дофамінове покоління. Де межа між болем і задоволенням (м'яка обкладинка),Анна Лембке,Нехудожня література (нон-фікшн),/catalog/medychna-literatura/dofaminove-pokolinnya-de-mezha-mizh-bolem-i-zadovolennyam-m-yaka-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/525/230_355_1/d7fc2340_db2c_11eb_8150_0050568ef5e6_afd65bcf_d80d_11ec_8170_0050568ef5e6.jpg
Тамплієри. Народження та загибель ордену,Ден Джонс,Нехудожня література (нон-фікшн),/catalog/serednovichchya/tampliyery-narodzhennya-ta-zahybel-ordenu/,https://book-ye.com.ua//upload/resize_cache/iblock/1ac/230_355_1/a7726317_462b_11ec_8154_0050568ef5e6_87313035_72d5_11ec_815f_0050568ef5e6.jpg
"Звички. Щоденник, який допоможе вам змінитися на краще і стати щасливішим за 12 тижнів",Гайден Фінч,Нехудожня література (нон-фікшн),/catalog/shchodennyky-planery/zvychky-shchodennyk-yakyj-dopomozhe-vam-zminytysya-na-krashche-i-staty-shchaslyvishym-za-12-tyzhniv/,https://book-ye.com.ua//upload/resize_cache/iblock/985/230_355_1/6d8ffe99_8603_11ed_8177_0050568ef5e6_4c85ba1b_8c3b_11ed_8178_0050568ef5e6.jpg
"Як виходити заміж стільки разів, скільки захочете",Ірена Карпа,Нехудожня література (нон-фікшн),/catalog/psykholohiya/yak-vykhodyty-zamizh-stilky-raziv-skilky-zakhochete/,https://book-ye.com.ua//upload/resize_cache/iblock/454/230_355_1/0b553928_fbf7_11ea_813d_000c29ae1566_b99ae3e4_c76c_11eb_814d_0050568ef5e6.jpg
Will. Вілл,Вілл Сміт,Нехудожня література (нон-фікшн),/catalog/biohrafiyi-vidomykh-lyudej/will-vill/,https://book-ye.com.ua//upload/resize_cache/iblock/665/230_355_1/3486642f_40aa_11ec_8154_0050568ef5e6_481b892f_5d93_11ec_815d_0050568ef5e6.jpg
Rework. Ця книжка змінить ваш погляд на бізнес,Джейсон Фрайд,Нехудожня література (нон-фікшн),/catalog/biznes-psykholohiya/rework-tsya-knyzhka-zminyt-vash-pohlyad-na-biznes/,https://book-ye.com.ua//upload/resize_cache/iblock/5b9/230_355_1/cff3dce7_7fe3_11e6_80c0_000c29ae1566_ba7b5ec1_d4f9_11eb_814e_0050568ef5e6.jpg
Це почалося не з тебе. Як успадкована родинна травма формує нас і як розірвати це коло,Марк Волінн,Нехудожня література (нон-фікшн),/catalog/psykholohiya/tse-pochalosya-ne-z-tebe-yak-uspadkovana-rodynna-travma-formuye-nas-i-yak-rozirvaty-tse-kolo/,https://book-ye.com.ua//upload/resize_cache/iblock/458/230_355_1/1a1d88ad_9588_11ed_8178_0050568ef5e6_66812fda_9589_11ed_8178_0050568ef5e6.jpg
Третій візит до кафе на краю світу,Джон П. Стрелекі,Нехудожня література (нон-фікшн),/catalog/motyvatsijni-knyhy/tretij-vizyt-do-kafe-na-krayu-svitu/,https://book-ye.com.ua//upload/resize_cache/iblock/c6b/230_355_1/5112ddf8_c43e_11eb_814a_0050568ef5e6_86d2ffdc_d322_11eb_814e_0050568ef5e6.jpg
Ukraїner. Країна зсередини,Богдан Логвиненко,Нехудожня література (нон-фікшн),/catalog/mista-ta-krayiny/ukrayiner-krayina-zseredyny/,https://book-ye.com.ua//upload/resize_cache/iblock/bd8/230_355_1/d4b8e7db_7c6a_11e9_8112_000c29ae1566_2389d77d_7c6b_11e9_8112_000c29ae1566.jpg
"Полюбіть себе! Щоденник для жінок, який допоможе прийняти себе такою, якою ви є",Меґан Лоґан,Нехудожня література (нон-фікшн),/catalog/psykholohiya/polyubit-sebe-shchodennyk-dlya-zhinok-yakyj-dopomozhe-pryjnyaty-sebe-takoyu-yakoyu-vy-ye/,https://book-ye.com.ua//upload/resize_cache/iblock/0e9/230_355_1/9c27c109_857b_11e6_80c0_000c29ae1566_e99aa452_a3ba_11ed_817b_0050568ef5e6.jpg
Зваблення їжею з українським смаком,Євген Клопотенко,Нехудожня література (нон-фікшн),/catalog/kulinariya/zvablennya-yizheyu-z-ukrayinskym-smakom/,https://book-ye.com.ua//upload/resize_cache/iblock/7b1/230_355_1/2f73aa6f_2803_11eb_8140_000c29ae1566_d2e25217_c75e_11eb_814d_0050568ef5e6.jpg
"Цього року я буду... 52 тижні на те, щоб досягти поставлених цілей",Тіффані Луїс,Нехудожня література (нон-фікшн),/catalog/shchodennyky-planery/tsoho-roku-ya-budu-52-tyzhni-na-te-shchob-dosyahty-postavlenykh-tsilej/,https://book-ye.com.ua//upload/resize_cache/iblock/af7/230_355_1/9c27c111_857b_11e6_80c0_000c29ae1566_ac24b1fa_a3b8_11ed_817b_0050568ef5e6.jpg
Діалоги (Бібліотека світової літератури),Платон,Нехудожня література (нон-фікшн),/catalog/filosofiya/dialohy-biblioteka-svitovoyi-literatury/,https://book-ye.com.ua//upload/resize_cache/iblock/49d/230_355_1/1a8b2172_3ff2_11ed_8175_0050568ef5e6_b3bef4ae_3ff2_11ed_8175_0050568ef5e6.jpg
"Планета грибів. Як гриби годують, лікують і вбивають нас",Олексій Коваленко,Нехудожня література (нон-фікшн),/catalog/tochni-ta-pryrodnychi-nauky/planeta-hrybiv-yak-hryby-hoduyut-likuyut-i-vbyvayut-nas/,https://book-ye.com.ua//upload/resize_cache/iblock/870/230_355_1/afaa1f34_9590_11ed_8178_0050568ef5e6_3a018559_9592_11ed_8178_0050568ef5e6.jpg
І знайдеш ти скарб у собі,Лоран Гунель,Нехудожня література (нон-фікшн),/catalog/motyvatsijni-knyhy/i-znajdesh-ty-skarb-u-sobi/,https://book-ye.com.ua//upload/resize_cache/iblock/f38/230_355_1/c6926c29_6d09_11eb_8148_000c29ae1566_a9d7d3e0_eee2_11eb_8150_0050568ef5e6.jpg
